菜谱,菜谱链接,用料,评分,用户,图片,菜系,用料数
左宗棠鸡～歪果仁最爱的中国菜,https://www.douguo.com/cookbook/1197935.html,"鸡腿,盐,淀粉,芝麻,糖,陈醋,生抽,水,生姜,蛋黄,蒜",5.0,萌萌麻麻0407,https://cp1.douguo.com/upload/caiku/3/6/6/400x266_367bc34686228efbe70d3dcfed04f056.jpg,湘菜,11
香煎黄花鱼—儿童营养餐,https://www.douguo.com/cookbook/1253481.html,"黄花鱼,面粉,盐,黑胡椒粉,葱姜蒜,料酒",4.8,灵山20134,https://cp1.douguo.com/upload/caiku/f/d/f/400x266_fded5d970c18825a0e37ebfc89a90f3f.jpg,湘菜,6
鸿运当头——剁椒蒸鱼头,https://www.douguo.com/cookbook/90487.html,"大鱼头,剁椒,姜,葱,蒜",5.0,拈花一笑,https://cp1.douguo.com/upload/caiku/f/0/b/400x266_f073b3649cb725798cf7bde9a1f8facb.jpg,湘菜,5
剁椒鱼头,https://www.douguo.com/cookbook/1101443.html,"鱼头,青剁椒,红剁椒",4.8,杜鹃花美食,https://cp1.douguo.com/upload/caiku/3/0/1/400x266_309e42a27fea5380b2bace0bb2282021.jpg,湘菜,3
湘菜【剁椒鱼头】正宗做法详解,https://www.douguo.com/cookbook/1415929.html,大头鱼,4.8,舍得的美食诱惑,https://cp1.douguo.com/upload/caiku/7/4/6/400x266_74574b7dda9e4210d4d680b473daed86.jpg,湘菜,1
清炒红苋菜,https://www.douguo.com/cookbook/243229.html,苋菜,4.8,杨桂菊营养师,https://cp1.douguo.com/upload/caiku/7/1/8/400x266_7162db50736a57c9c368a516750d4308.jpg,湘菜,1
酒酿,https://www.douguo.com/cookbook/1364600.html,"糯米,甜酒曲,白开水",5.0,吉利娃,https://cp1.douguo.com/upload/caiku/3/d/e/400x266_3d2e051e44d967ba2cbd14d40d84990e.jpeg,湘菜,3
湘西土匪烧豆角,https://www.douguo.com/cookbook/191833.html,"长豆角,肉末,大蒜",4.4,dora咩咩,https://cp1.douguo.com/upload/caiku/1/f/7/400x266_1f9cc451bf9daabf1cf1190c4f3b04e7.jpg,湘菜,3
香辣鸭舌,https://www.douguo.com/cookbook/717527.html,鸭舌,4.0,饭饭和汤汤,https://cp1.douguo.com/upload/caiku/8/8/d/400x266_8833c57d9587b069d6d580b91ae9a23d.jpg,湘菜,1
咸鸭蛋灌糯米饭,https://www.douguo.com/cookbook/1291654.html,"糯米,荷兰豆,腊肉,生咸鸭蛋",4.8,鱼乐乐,https://cp1.douguo.com/upload/caiku/6/a/3/400x266_6a891385ec496e08fdac1f44fb975053.jpg,湘菜,4
香菇酿肉-儿童营养餐,https://www.douguo.com/cookbook/1162888.html,"香菇,肉馅,鸡蛋,葱,姜,蒜,淀粉,酱油,花椒粉,小虾米,番茄酱,糖,胡椒粉",4.8,灵山20134,https://cp1.douguo.com/upload/caiku/5/9/4/400x266_591e3eaadc67430f63eb7107ddb3d4b4.jpg,湘菜,13
菠萝咕咾肉，咬一口不老的灵魂,https://www.douguo.com/cookbook/1668107.html,"猪梅肉,干面粉,鸡蛋,生抽,黄酒, 盐,胡椒粉,新鲜菠萝,青椒,红椒",4.9,任芸丽,https://cp1.douguo.com/upload/caiku/2/8/3/400x266_281a7c80827a61cd15dc2ba242c88703.jpg,粤菜,10
牛奶炖蛋,https://www.douguo.com/cookbook/179626.html,"土鸡蛋,纯牛奶",4.7,粉竽粘糖,https://cp1.douguo.com/upload/caiku/2/4/6/400x266_249b9f76d3b788dc9d0145c3d208bf86.jpg,粤菜,2
蚝油生菜,https://www.douguo.com/cookbook/180665.html,"生菜,蚝油",4.7,玉池桃红,https://cp1.douguo.com/upload/caiku/9/d/8/400x266_9d69b7920e67f4033b388758cc42e328.jpg,粤菜,2
菠萝咕咾肉#舌尖美味·油你掌勺#,https://www.douguo.com/cookbook/1708939.html,"#腌肉：,猪里脊肉,料酒,盐,白胡椒粉,#配菜：,凤梨或菠萝,红椒（灯笼椒）,#蛋黄糊：,蛋黄,淀粉,炸肉用淀粉：,#酸甜酱汁：,植物油（炒酸甜酱汁使用）：,番茄沙司,白砂糖,盐（可不放）,橙汁淀粉水（橙汁70g+淀粉3g）,植物油（使酱汁更油亮,也可不放）",5.0,超食控,https://cp1.douguo.com/upload/caiku/0/1/c/400x266_01e970814c44bc74a00f0a1d43cfbf5c.jpg,粤菜,20
金蒜粉丝蒸虾,https://www.douguo.com/cookbook/1507748.html,"青虾,粉丝,腌制：,料酒,白胡椒粉,蒜茸制作：,大蒜,蒸鱼豉油,调料汁：,蒸鱼豉油,白胡椒粉,清水,鸡精,指天椒,香葱葱绿",4.7,Tina厨房日记,https://cp1.douguo.com/upload/caiku/c/c/a/400x266_cc28192df2a063ace1914ab692fb639a.jpeg,粤菜,15
【蒜蓉木耳蒸丝瓜】超快手超简单节后清肠低脂清新,https://www.douguo.com/cookbook/1558670.html,"丝瓜,木耳,大蒜,植物油,盐,酱油",4.7,Inness猫,https://cp1.douguo.com/upload/caiku/8/0/8/400x266_8048ed081742cf887f28b13ada9c5098.jpg,粤菜,6
粤菜-菠萝咕噜肉(咕咾肉）十二道锋味复刻做出极致的甜酸,https://www.douguo.com/cookbook/1287809.html,"猪里脊,青椒,红椒,菠萝,干山楂,柠檬,红糖,番茄酱,水,生抽,盐,淀粉,鸡蛋,黑胡椒",4.8,美国厨娘,https://cp1.douguo.com/upload/caiku/5/e/f/400x266_5ec624e61894f5690057007f8bed525f.jpeg,粤菜,14
#春天肉菜这样吃#蚝油生菜,https://www.douguo.com/cookbook/2069734.html,"生菜,蒜,干辣椒,生抽,蚝油,盐,花生油",4.9,妙江南,https://cp1.douguo.com/upload/caiku/4/7/d/400x266_476f772c557d30776ad8dcb6abca730d.jpeg,粤菜,7
蚝油手撕杏鲍菇,https://www.douguo.com/cookbook/258161.html,"杏鲍菇,青椒,干辣椒,蒜",4.8,哈尼22,https://cp1.douguo.com/upload/caiku/f/2/b/400x266_f2aa1c3ee1d28112b65c846e8e6f925b.jpg,粤菜,4
粤菜-上汤豆苗（做好上汤的窍门）,https://www.douguo.com/cookbook/1350095.html,"豌豆苗,肉末（火腿丁）,皮蛋,白蘑菇,大蒜籽,姜,高汤,盐,蚝油,枸杞（装饰用可不放）",4.9,美国厨娘,https://cp1.douguo.com/upload/caiku/e/8/4/400x266_e859eb5bf65043e312192f8881cb48a4.jpeg,粤菜,10
广东红烧肉#蔚爱边吃边旅行#,https://www.douguo.com/cookbook/1526593.html,"五花肉,蒜瓣,酱油,蚝油",4.8,食尚煮易爱下厨,https://cp1.douguo.com/upload/caiku/3/b/0/400x266_3b22313c85ca6f4a42041fe7362f7be0.jpg,粤菜,4
母亲节献礼之菠萝咕噜肉,https://www.douguo.com/cookbook/1674353.html,"菠萝,红椒,青椒,瘦肉",5.0,魏蕾绽放味蕾,https://cp1.douguo.com/upload/caiku/7/5/3/400x266_75dab0a6bf3ea968fb5c78b83d5562e3.jpg,粤菜,4
粤菜-咸鱼茄子煲（附茄子不油腻的小窍门）,https://www.douguo.com/cookbook/1351032.html,"茄子,梅香马交鱼,肉末,香菇,大蒜籽,姜,葱,料酒,生抽,鱼露,镇江香醋,白胡椒粉,香油,鸡精,生粉,盐,鸡汤,辣椒（可选）",4.7,美国厨娘,https://cp1.douguo.com/upload/caiku/d/a/d/400x266_da2d82a427aa98d9aa8895b41faf9e9d.jpeg,粤菜,18
酱爆肉末茄子煲,https://www.douguo.com/cookbook/708004.html,"细长条紫茄子,里脊肉",4.7,六月未央,https://cp1.douguo.com/upload/caiku/2/f/8/400x266_2ff32deae19f6871ca3058eb0539e548.jpg,粤菜,2
豆腐虾煲#舌尖上的春宴#,https://www.douguo.com/cookbook/1513888.html,"小白虾,南豆腐,葱姜,盐,水淀粉,白糖,白胡椒粉（看个人口味可放可不放）",4.8,西米Fiona,https://cp1.douguo.com/upload/caiku/2/1/7/400x266_2168f775995afeb12b81967b12044607.jpg,粤菜,7
比肉还香的——浇汁豆腐丸子,https://www.douguo.com/cookbook/1718758.html,"卤水老豆腐,胡萝卜,面粉,鸡蛋",4.2,路过的小酒窝_,https://cp1.douguo.com/upload/caiku/2/1/a/400x266_21bc4a526cf144675afe975c681f9dba.jpg,粤菜,4
粤式经典--白灼菜心,https://www.douguo.com/cookbook/957270.html,菜心,4.7,晴安,https://cp1.douguo.com/upload/caiku/0/7/5/400x266_079111cecad76adfc980ae0af8515ac5.jpg,粤菜,1
蒜蓉辣酱炒花甲,https://www.douguo.com/cookbook/1649554.html,"花甲,姜块,蒜蓉,干辣椒,花椒,豆瓣酱,辣椒酱,生抽,淀粉,葱香菜,食用油",4.9,荷妈美食,https://cp1.douguo.com/upload/caiku/6/2/7/400x266_624b36f8b64aace1cb595c8fe19d8f87.jpg,粤菜,11
干炒牛河,https://www.douguo.com/cookbook/1510885.html,"河粉,牛肉片,胡萝卜,韭黄,洋葱,芽菜,香葱",4.9,妮不懂T_T,https://cp1.douguo.com/upload/caiku/1/1/e/400x266_11d5c0a28cce59fd9ceb92e5672a8a5e.jpg,粤菜,7
非传统非油炸版【梅干菜扣肉】,https://www.douguo.com/cookbook/180590.html,"五花肉,梅干菜",4.8,糖小饼,https://cp1.douguo.com/upload/caiku/2/d/6/400x266_2dd2d27ec721e4252c5b1b7ed1f51086.jpg,粤菜,2
蒜蓉粉丝蒸扇贝,https://www.douguo.com/cookbook/1715314.html,"扇贝,粉丝,大蒜,姜,小葱,红辣椒,味极鲜,油",4.9,椛吃,https://cp1.douguo.com/upload/caiku/b/6/b/400x266_b64e5e31db61bdb3f804a77fbaeac46b.jpeg,粤菜,8
红枣红糖酒酿蛋,https://www.douguo.com/cookbook/1721971.html,"红糖,红枣,枸杞,酒酿,清水,鸡蛋",4.9,妍媽美食,https://cp1.douguo.com/upload/caiku/e/6/0/400x266_e64f37975141a0f4cdcdb7dc80170390.jpg,粤菜,6
私房菠萝咕噜肉,https://www.douguo.com/cookbook/765710.html,"猪里脊肉,菠萝,青椒,胡萝卜",4.7,午夜的阳光奇奇,https://cp1.douguo.com/upload/caiku/0/9/c/400x266_09e43cd7fc24cb4660af4766af99439c.jpg,粤菜,4
清蒸鲈鱼,https://www.douguo.com/cookbook/1502705.html,鲈鱼,5.0,xian_闲云_yun,https://cp1.douguo.com/upload/caiku/d/5/b/400x266_d56ff2fa8d1ea4f10abf2be9862aff0b.jpg,粤菜,1
广式小吃——Q弹钵仔糕,https://www.douguo.com/cookbook/1705445.html,"钵仔糕粉,清水,白糖,蔓越莓干,枸杞,红枣,椰蓉,冻干玉米粒",4.9,泣哥儿,https://cp1.douguo.com/upload/caiku/a/e/2/400x266_aee1af66b61f0eaaa557b4d1a9f58ef2.jpeg,粤菜,8
银耳雪梨羹,https://www.douguo.com/cookbook/738716.html,"银耳,雪梨",4.7,月亮晶晶,https://cp1.douguo.com/upload/caiku/4/c/f/400x266_4c9bad4592b487e7a8af684bd610af7f.jpg,粤菜,2
土豆牛腩煲,https://www.douguo.com/cookbook/1658261.html,"牛腩,胡萝卜,土豆,葱,姜,香叶,八角,草果,肉寇,料酒,生抽,老抽,黄冰糖,香叶,盐",5.0,尖尖实验室,https://cp1.douguo.com/upload/caiku/b/8/5/400x266_b820e92452769621a08b813b7f376b95.jpg,粤菜,15
全家福砂锅#盛年锦食·忆年味#,https://www.douguo.com/cookbook/1504043.html,"白菜,咸肉,虾,鹌鹑蛋,肉皮（泡发）,蛋饺,爆鱼,黄豆芽,冬笋（片）,香菇,家乐浓汤宝,盐,料酒,葱丝",4.8,麦子老妈,https://cp1.douguo.com/upload/caiku/2/7/9/400x266_27f750f54199e0c5d86bde9ce8c6f069.jpeg,粤菜,14
5分钟教你做浓香手煮奶茶,https://www.douguo.com/cookbook/1317804.html,"鲜奶,白糖,正山小种红茶叶",4.8,花儿的美食厨房,https://cp1.douguo.com/upload/caiku/7/b/b/400x266_7be65100cdf9a7471a4ab4b7d213ffcb.png,粤菜,3
越基础越考验功力：客家酿豆腐,https://www.douguo.com/cookbook/1502415.html,"山水老豆腐,瘦肉,香菇",4.8,莉莉菲,https://cp1.douguo.com/upload/caiku/6/6/8/400x266_66ed80c21c79b1ba056597f556268228.jpg,粤菜,3
澳门葡式蛋挞 | 从蛋挞液到蛋挞皮，详解每个细节,https://www.douguo.com/cookbook/2309491.html,"自制泡芙酥皮 （请看食域家上一篇食谱）,奶油(35%的脂肪含量),白砂糖,全脂牛奶(3.5%脂肪含量),大蛋黄,玉米淀粉,香草精",5.0,食域家,https://cp1.douguo.com/upload/caiku/e/8/4/400x266_e8baa2a5b02b6cd4c24d0d107ad04884.png,粤菜,7
酸汤肥牛卷,https://www.douguo.com/cookbook/213094.html,"肥牛卷,黄灯笼剁椒酱,泡小米椒,美人椒,粉丝,西红柿,小青菜或生菜,金针菇,味精,鸡精,胡椒粉,白糖,葱姜,白醋",4.7,郭彦学,https://cp1.douguo.com/upload/caiku/5/e/8/400x266_5e1f5f3521bd53ab7db26129f5a85c38.jpg,粤菜,14
鲜掉你的眉毛—清蒸鲈鱼,https://www.douguo.com/cookbook/1608393.html,"鲜鲈鱼,蒜,姜,葱",4.8,子瑜妈妈,https://cp1.douguo.com/upload/caiku/6/6/0/400x266_66c9560fe62455b1884d6c4db5b0ed80.jpeg,粤菜,4
儿时记忆-广式蒜蓉豆豉蒸排骨,https://www.douguo.com/cookbook/1619413.html,"猪肋排,生姜,大蒜头,水,生抽,料酒,豆豉,白砂糖,葱花,花生油,盐",4.8,Mrs.梁大脸,https://cp1.douguo.com/upload/caiku/4/9/6/400x266_49e9762d40b7ac72b2c563fff8cb29d6.jpg,粤菜,11
莲蓉蛋黄酥&杂花酥（黄油版）,https://www.douguo.com/cookbook/1232023.html,"中粉（油皮）,黄油（油皮）,细砂糖（油皮）,水（油皮）,低粉（油酥）,黄油（油酥）",4.8,lovestory9,https://cp1.douguo.com/upload/caiku/e/8/0/400x266_e8b42e2a9a325467a74d5ade9661b110.jpg,粤菜,6
菠萝咕噜肉,https://www.douguo.com/cookbook/1647557.html,"五花肉,菠萝,青椒,红椒,香酥炸粉,番茄酱,白糖,米醋,盐",4.4,食尚煮易爱下厨,https://cp1.douguo.com/upload/caiku/a/c/d/400x266_ac183368da10b6c8b6530a819d5e2b4d.jpg,粤菜,9
番茄金针菇冬瓜汤,https://www.douguo.com/cookbook/820179.html,"冬瓜,番茄,金针菇,盐,糖",4.7,悠悠小厨,https://cp1.douguo.com/upload/caiku/8/a/5/400x266_8aa3d59874fbd91422d72d3da7a9d175.jpg,粤菜,5
荷塘月色小炒#每道菜都是一台食光机#,https://www.douguo.com/cookbook/1604924.html,"莲藕,荷兰豆,红萝卜,黑木耳,蒜瓣,盐,家乐热炒鲜露,玉米粒,鸡粉",4.3,枭笑,https://cp1.douguo.com/upload/caiku/9/e/3/400x266_9e8cdac58e8b1c95ca4a0d6d009132c3.jpg,粤菜,9
广东罗汉斋#蔚爱边吃边旅行#,https://www.douguo.com/cookbook/1532282.html,"荷兰豆,春笋,腐竹,香菇,胡萝卜,木耳,青笋,蚝油,白糖,淀粉,盐,鸡精",5.0,沙小囡,https://cp1.douguo.com/upload/caiku/3/1/d/400x266_3168b8c616522ae87e246cf7a559271d.jpg,粤菜,12
菠萝咕咾肉,https://www.douguo.com/cookbook/974538.html,"菠萝,里脊肉,青圆椒,红柿子椒",4.7,艺朵儿五味家宴,https://cp1.douguo.com/upload/caiku/f/9/d/400x266_f9fa0d1e7e99960043e9d3be5f46c80d.jpg,粤菜,4
#钟于经典传统味#鲜虾粉丝煲,https://www.douguo.com/cookbook/2393438.html,"大虾,粉丝,生抽,葱,姜,郫县豆瓣酱,开水,糖,蒜",4.8,妞妞仔仔多多,https://cp1.douguo.com/upload/caiku/e/9/1/400x266_e9c628f0365d6ee513b1a7dddf2f7041.jpg,粤菜,9
蒜蓉粉丝蒸扇贝#精品菜谱挑战赛#,https://www.douguo.com/cookbook/2292246.html,"扇贝,龙口粉丝,大蒜,味极鲜酱油,蚝油,盐,鸡精,白糖,小米辣,小葱,油",5.0,沙小囡,https://cp1.douguo.com/upload/caiku/3/e/b/400x266_3e0f481aebc6ee996e0e14693b8bb89b.jpg,粤菜,11
酱油鸡腿,https://www.douguo.com/cookbook/982073.html,鸡腿,4.7,美姐姐的小资生活,https://cp1.douguo.com/upload/caiku/5/d/c/400x266_5d987cf6d3cedd3c6d010fd57c1c92bc.jpg,粤菜,1
吸指明虾鸡爪煲,https://www.douguo.com/cookbook/1717767.html,"明虾,鸡爪,土豆 （大）,鹌鹑蛋,年糕片",4.8,薇小厨美食记,https://cp1.douguo.com/upload/caiku/2/6/5/400x266_26c7c072df8f9b27d040157ffd4f0e05.jpg,粤菜,5
烤箱版蒜蓉生蚝,https://www.douguo.com/cookbook/2075023.html,"生蚝,粉丝,大蒜,香葱,小米辣,植物油",5.0,healthy小白,https://cp1.douguo.com/upload/caiku/b/a/0/400x266_ba59a4ce616837eccb3adf5d505ef470.JPG,粤菜,6
【白灼虾】活虾最原味的做法,https://www.douguo.com/cookbook/1069321.html,活虾,4.7,舞之灵1027,https://cp1.douguo.com/upload/caiku/2/5/b/400x266_25fd9c6b107a4c1c2432ab35f3ad5b7b.jpg,粤菜,1
广东菠萝咕噜肉#蔚爱边吃边旅行#,https://www.douguo.com/cookbook/1528360.html,"菠萝,猪肉,青椒,红椒,料酒,盐,糖,胡椒粉,生粉,生抽,鸡蛋,番茄酱",4.8,8飞鱼,https://cp1.douguo.com/upload/caiku/0/0/c/400x266_006f608cdcb998fbafcef02794599f5c.jpg,粤菜,12
粤式经典茶点——豉汁蒸排骨,https://www.douguo.com/cookbook/1674831.html,"猪小排,大蒜,豆豉,胡椒粉,糖,淀粉,盐,鸡精",5.0,Miko的小厨房,https://cp1.douguo.com/upload/caiku/b/e/8/400x266_bec60c7a344b3d3c24dbcfbd625d4198.jpeg,粤菜,8
肉末白菜卷,https://www.douguo.com/cookbook/1318475.html,"前腿肉,白菜,蒜头,黑椒粉",4.7,美乐猪,https://cp1.douguo.com/upload/caiku/e/c/d/400x266_ecabc6ef3f23da4714def526b8d9043d.png,粤菜,4
日食记丨梅菜扣肉,https://www.douguo.com/cookbook/1665051.html,"五花肉,梅干菜,啤酒,京葱,姜,八角,香叶,白胡椒粉,淀粉,糖,老抽,生抽,料酒",4.9,姜叔的日食记,https://cp1.douguo.com/upload/caiku/e/6/3/400x266_e6b9873fa403a6c5e6803cc98b42a8f3.jpeg,粤菜,13
[快厨房]潮汕干贝虾蟹粥砂锅粥,https://www.douguo.com/cookbook/1515481.html,全部食材,4.6,颖涵的快厨房,https://cp1.douguo.com/upload/caiku/0/0/4/400x266_007bf48ed8ed66c22cb791931777e7d4.png,粤菜,1
香菇酿肉丸  #元气挑战美一天#,https://www.douguo.com/cookbook/1375786.html,"鲜香菇,肉末,玉米粒,豌豆,红椒,枸杞",4.8,缘豆儿,https://cp1.douguo.com/upload/caiku/8/a/6/400x266_8a0969976c86a3aa335cd6a09b09f8e6.jpg,粤菜,6
威海蚝烙#蔚爱边吃边旅行#,https://www.douguo.com/cookbook/1529736.html,"生蚝,鸡蛋,地瓜粉,面粉,洋葱,红椒,香菜,大葱,海鲜酱油,胡椒粉,花生油,盐",4.2,salila82,https://cp1.douguo.com/upload/caiku/a/5/e/400x266_a5b195062e4b4874744c6b95b9bbd29e.jpg,粤菜,12
金沙虾仁蒸蛋,https://www.douguo.com/cookbook/1718671.html,"嫩豆腐,咸蛋黄,腊肠,虾仁,鸡蛋,小葱",4.9,小羽私厨,https://cp1.douguo.com/upload/caiku/8/9/d/400x266_895c1bc46107455663e4b29d4e92fd9d.jpg,粤菜,6
家常猪肚鸡（附清洗和处理猪肚的技巧）,https://www.douguo.com/cookbook/2345797.html,"猪肚,鸡,盐,生抽,料酒,枸杞,姜片,蒜,盐,胡椒",5.0,魏蕾绽放味蕾,https://cp1.douguo.com/upload/caiku/3/3/b/400x266_33ff7793741efb5a631329114b7d0fab.jpg,粤菜,10
菠萝咕噜肉,https://www.douguo.com/cookbook/1667406.html,"菠萝,小里脊,三色甜椒,蛋清",4.8,拾味爸爸,https://cp1.douguo.com/upload/caiku/e/6/e/400x266_e6b1bf10f104f5e51e17baa6428acc6e.jpg,粤菜,4
椒盐黄豆#令人羡慕的圣诞大餐#,https://www.douguo.com/cookbook/1725600.html,"黄豆,色拉油,椒盐,辣椒粉",5.0,尖尖实验室,https://cp1.douguo.com/upload/caiku/2/5/a/400x266_2571c58b570aac7cde3cbbb404ec43ea.jpeg,粤菜,4
下饭佐酒好选择 沙茶潮汕牛肉丸,https://www.douguo.com/cookbook/1614623.html,"汕头牛肉丸,芹菜,生菜,蚝油,沙茶酱,辣椒酱",5.0,只爱飞飞自己,https://cp1.douguo.com/upload/caiku/6/d/e/400x266_6da9d36287a16f354f89c01c5dbced4e.jpeg,粤菜,6
辣炒花螺,https://www.douguo.com/cookbook/1718368.html,花螺（带壳）,5.0,寻找桃花岛,https://cp1.douguo.com/upload/caiku/f/d/c/400x266_fde1b2032620a8a875fddbbcf4267c5c.jpg,粤菜,1
菠萝咕噜肉｜酸酸甜甜,https://www.douguo.com/cookbook/2053959.html,"梅花肉/猪颈肉,菠萝,彩椒",4.8,菜菜美食日记,https://cp1.douguo.com/upload/caiku/2/2/d/400x266_22d7d0f33e7abb6f8e6ad434fdfc9bfd.jpg,粤菜,3
黑椒牛肉粒—迷迭香,https://www.douguo.com/cookbook/2292507.html,"牛肉,洋葱,青椒,料酒,生抽,蚝油,糖,黑胡椒粉,盐",4.7,迷迭香Rosemary,https://cp1.douguo.com/upload/caiku/e/c/5/400x266_ec5c0ffe670ad5259bed212298ddd875.jpg,粤菜,9
红烧肉#樱花味道#,https://www.douguo.com/cookbook/1526583.html,"五花肉,生姜,啤酒,冰糖,生抽,老抽,鹌鹑蛋",4.5,我叫一尾鱼,https://cp1.douguo.com/upload/caiku/5/6/c/400x266_5611b9b37e9692398320048a3b70bfac.jpeg,粤菜,7
家庭版钵仔糕-零难度零失败,https://www.douguo.com/cookbook/2319209.html,"木薯淀粉,砂糖,清水,提子干,蔓越莓",4.7,Taloves,https://cp1.douguo.com/upload/caiku/3/8/2/400x266_38f8f1e2a3992fb19dc94b3330e8a0c2.jpeg,粤菜,5
活血祛寒 月子必备 客家黄酒鸡,https://www.douguo.com/cookbook/1678006.html,"扇鸡（鸡）,客家黄酒,生姜,食盐,食用油",4.7,只爱飞飞自己,https://cp1.douguo.com/upload/caiku/f/b/3/400x266_fbe81b02c33d23eb2fb39c40d53db993.jpeg,粤菜,5
豉汁蒸排骨,https://www.douguo.com/cookbook/1723567.html,"猪肋排,姜末,蒜末,豆豉,耗油,盐,糖,白胡椒粉,料酒,蒸鱼豉油,香油,淀粉,辣椒",4.7,米思高,https://cp1.douguo.com/upload/caiku/1/7/e/400x266_1777269383caab6efb6aa81a517e2f9e.jpg,粤菜,13
喝过一次就念念不忘的猪肚包鸡,https://www.douguo.com/cookbook/1519402.html,"猪肚,鸡,姜,白胡椒粒,红枣,枸杞,沙参,盐,白胡椒粉",4.9,蓝胖子不素胖纸,https://cp1.douguo.com/upload/caiku/5/f/b/400x266_5f2c51b9bc31d5d1e4ef1f5e754688fb.jpg,粤菜,9
粉煎排骨｜香气浓烈,https://www.douguo.com/cookbook/1716790.html,"排骨,绿豆淀粉,花椒末,黄酒,黄豆酱",5.0,菜菜美食日记,https://cp1.douguo.com/upload/caiku/5/8/f/400x266_58e45a6192064911b2d68ee570b16ccf.jpg,粤菜,5
菠萝咕咾虾#母亲节，给妈妈做道菜#,https://www.douguo.com/cookbook/2296936.html,"菠萝,虾仁,干淀粉,番茄酱,白醋,糖,料酒,盐,白胡椒粉",5.0,琥珀maggie,https://cp1.douguo.com/upload/caiku/e/c/5/400x266_ec4e2269d7c655ca2a06ae45dce34275.jpg,粤菜,9
电饭锅蜜汁叉烧肉,https://www.douguo.com/cookbook/1512861.html,五花肉,4.7,罐头视频,https://cp1.douguo.com/upload/caiku/8/a/8/400x266_8a50aa9636c5140fc5a5dc73dcaa7c98.jpg,粤菜,1
#春天肉菜这样吃# 菠萝咕咾肉,https://www.douguo.com/cookbook/2068670.html,"里脊肉,菠萝,红椒,黄椒,青椒,鸡蛋,番茄酱,淀粉,盐",4.3,小王子记事簿,https://cp1.douguo.com/upload/caiku/4/2/4/400x266_4256e2d1c646ca7055ff44dd21361a94.jpeg,粤菜,9
剁椒粉丝蒸金针菇#舌尖上的春宴#,https://www.douguo.com/cookbook/1513844.html,"金针菇,粉丝",4.8,斯佳丽,https://cp1.douguo.com/upload/caiku/2/1/4/400x266_21a25045db74c1190b20d5bf0548b924.jpg,粤菜,2
湘莲板栗猪肚汤～,https://www.douguo.com/cookbook/1722746.html,"猪肚,莲子,板栗,红枣,枸杞,生姜,白醋,盐,面粉,料酒,胡椒粉,芝麻油,清水",5.0,妍媽美食,https://cp1.douguo.com/upload/caiku/4/a/1/400x266_4a110be4a1cadd0117b77bb3b96a7ed1.jpg,粤菜,13
电饭煲版蚝油鸡翅,https://www.douguo.com/cookbook/1509380.html,鸡翅,4.7,味谷的厨房,https://cp1.douguo.com/upload/caiku/d/7/4/400x266_d79561d8558fa2fe6f1d3152479d69d4.jpg,粤菜,1
空气炸锅烤鸡翅,https://www.douguo.com/cookbook/1717912.html,"鸡翅中,奥尔良腌料,水,蜂蜜",4.7,爱新觉罗_金金,https://cp1.douguo.com/upload/caiku/d/6/5/400x266_d6a899dda267bbe0d0cd01c4fddda9a5.jpeg,粤菜,4
蛤蜊丝瓜汤#舌尖上的春宴#,https://www.douguo.com/cookbook/1513846.html,"丝瓜,蛤蜊",4.5,斯佳丽,https://cp1.douguo.com/upload/caiku/1/4/f/400x266_1480f30abc448a1a5d0af6660ee2c4cf.jpg,粤菜,2
不容错过的~广式脆皮烧肉,https://www.douguo.com/cookbook/1576914.html,"带皮五花肉,盐,五香粉,酱油,白糖,食用小苏打,姜,竹签,锡纸,蚝油",4.7,冰雪635,https://cp1.douguo.com/upload/caiku/0/4/9/400x266_04216eb96d6264c07594647c99162d39.jpg,粤菜,10
咸蛋黄焗南瓜,https://www.douguo.com/cookbook/1715338.html,"咸蛋黄,南瓜,小葱,油",5.0,阿末的美食日记m,https://cp1.douguo.com/upload/caiku/d/0/2/400x266_d01318285559c1d3bd5d59c935001fd2.jpeg,粤菜,4
大排档风味 快手煲仔菜～火腩茄子煲,https://www.douguo.com/cookbook/1663230.html,"茄子,火腩（烧肉）,生姜,葱,大蒜,红葱头,面豉酱,白糖,食盐,生抽,料酒,开水,食用油",5.0,只爱飞飞自己,https://cp1.douguo.com/upload/caiku/6/7/c/400x266_678f9c070e0c8121b7a69e33ee2cce2c.jpeg,粤菜,13
菠萝咕咾肉,https://www.douguo.com/cookbook/1558753.html,"里脊肉,菠萝,青椒,红椒",4.2,家乐美食小站,https://cp1.douguo.com/upload/caiku/c/8/8/400x266_c8ec5b6e299471159e0913ccfc24a9a8.png,粤菜,4
低卡燕麦蛋挞,https://www.douguo.com/cookbook/2070206.html,"燕麦,香蕉,牛奶,鸡蛋",4.9,小羽私厨,https://cp1.douguo.com/upload/caiku/8/2/b/400x266_829602c8ca05a61b8d616156edba2f2b.jpg,粤菜,4
【网红雪媚娘】，小白也能三分钟学会,https://www.douguo.com/cookbook/2067808.html,"草莓,淡奶油,奥利奥碎,砂糖,雪媚娘皮",5.0,马卡龙小魔女,https://cp1.douguo.com/upload/caiku/9/8/1/400x266_98ae21f029c5c3542ae9b012dff072f1.JPG,粤菜,5
