菜谱,菜谱链接,用料,评分,用户,图片,菜系,用料数
鱼香肉丝,https://www.douguo.com/cookbook/2359189.html,"猪后腿（里脊肉）,胡萝卜,泡发黑木耳,青椒,小葱,豆瓣酱,肉丝腌制：姜片,淀粉,料酒,油,盐,鱼香汁：醋,糖,生抽,淀粉",4.9,薄荷糖的味道818,https://cp1.douguo.com/upload/caiku/d/e/d/400x266_de0fe6cc5df26af742ba5fd0eaa933bd.jpeg,川菜,15
蚂蚁上树,https://www.douguo.com/cookbook/1082074.html,"青椒,红椒,猪肉末,粉丝",4.7,缘豆儿,https://cp1.douguo.com/upload/caiku/7/0/a/400x266_70aaa7f5dca5c95135fa3f5f7265822a.jpg,川菜,4
麻辣鸡丝#盛年锦食.忆年味#,https://www.douguo.com/cookbook/1503357.html,"鸡胸脯肉,生姜,大葱,料酒,香菜,清水,麻辣酱汁：,陈醋,生抽,辣椒油,香油,白芝麻,花椒粉,食盐",4.9,深蓝小米粥,https://cp1.douguo.com/upload/caiku/6/c/0/400x266_6c9c2e8ac724598213bbfada3f697270.jpg,川菜,14
糖油粑粑,https://www.douguo.com/cookbook/1722914.html,"糯米粉,红糖,水",4.9,泥鳅的美食厨房,https://cp1.douguo.com/upload/caiku/9/b/3/400x266_9b2db81015b1befc84bf17fc5fffd203.jpg,川菜,3
啤酒鸭,https://www.douguo.com/cookbook/182086.html,鸭腿,4.7,绿野仙踪olivia,https://cp1.douguo.com/upload/caiku/4/c/f/400x266_4cb0c9c610074ecaf4320f0c373170ef.jpg,川菜,1
简单易做的下饭神器——鱼香茄子,https://www.douguo.com/cookbook/1669406.html,"茄子,大蒜,郫县辣酱,醋,酱油,糖,淀粉,料酒,耗油,指天椒,猪肉糜,鸡精",4.2,Miko的小厨房,https://cp1.douguo.com/upload/caiku/e/a/0/400x266_ea45d634a7f93df60b2c84b08335a270.jpeg,川菜,12
网红柠檬泡椒凤爪,https://www.douguo.com/cookbook/2068163.html,"鸡爪,柠檬,生姜,大蒜,青尖椒,小米辣,白醋,料酒,生抽,香油,盐,白砂糖",4.9,微微0214,https://cp1.douguo.com/upload/caiku/1/9/9/400x266_19147004769d3ca1aff743b6aaa05249.jpeg,川菜,12
水煮肉片,https://www.douguo.com/cookbook/62911.html,"里脊肉,包菜",4.7,板刀面与馄饨汤,https://cp1.douguo.com/upload/caiku/7/6/6/400x266_76d095ac985804e93a26558ea3d6f2d6.jpg,川菜,2
军屯锅盔#中粮我买，真实惠才是食力派#,https://www.douguo.com/cookbook/1625834.html,"面粉,水,酵母,花椒,盐,肉馅（肥瘦各半）,生姜,葱白,白胡椒粉,猪油,低粉,菜籽油",4.8,嘿牛牛,https://cp1.douguo.com/upload/caiku/f/7/e/400x266_f7b1b3d24731a5878749c7473d6b114e.jpeg,川菜,12
番茄土豆烧牛肉,https://www.douguo.com/cookbook/1722472.html,"番茄,土豆,胡萝卜,牛肉,葱姜,香叶,草果,八角,桂皮,小茴香,生抽,老抽,黄酒,啤酒,番茄酱,盐,冰糖,食用油,水淀粉,开水",4.8,胸有成竹1966,https://cp1.douguo.com/upload/caiku/c/c/2/400x266_cc5bc4a66871116fbbfd22557dc27062.jpeg,川菜,20
鱼香茄子,https://www.douguo.com/cookbook/1159570.html,"长茄子,猪肉馅,蒜,小红辣椒",4.7,乐悠厨房,https://cp1.douguo.com/upload/caiku/1/c/f/400x266_1ca013a692332b08c12916d3afc81aef.jpg,川菜,4
凉拌腐竹#做道懒人菜，轻松享假期#,https://www.douguo.com/cookbook/2296550.html,"腐竹,花生米,黄瓜,木耳,蒜,小米辣,香菜,盐,鸡精,白糖,味极鲜酱油,蚝油,香醋,香油",5.0,沙小囡,https://cp1.douguo.com/upload/caiku/f/6/8/400x266_f61ea7a022924e1f712348621f029dc8.jpg,川菜,14
蒜苔炒腊肉,https://www.douguo.com/cookbook/2018799.html,"腊肉,蒜苔,盐,干辣椒,鸡精,食用油",4.7,沙小囡,https://cp1.douguo.com/upload/caiku/c/a/9/400x266_caab9a5005e531abe1df6475f3477a09.jpg,川菜,6
麻辣烤鱼,https://www.douguo.com/cookbook/237850.html,"罗非鱼,黑木耳,金针菇,豆芽,藕片,腐竹,花菜,干辣椒段,郫县豆瓣酱,豆瓣酱,火锅底料,姜丝,大蒜,啤酒,生抽,糖,肥肉片,花生碎,香菜,醋,孜然,花椒粉",4.7,鬼蜀美食,https://cp1.douguo.com/upload/caiku/c/6/a/400x266_c6f4e22913527748d8ef39d02608c10a.jpg,川菜,22
口水鸡,https://www.douguo.com/cookbook/1725341.html,"鸡腿,香菜,葱,生姜,大蒜,花生米,桂皮,香叶,八角,白醋,花椒,辣椒油,生抽,盐,陈醋,冰水",4.9,妍媽美食,https://cp1.douguo.com/upload/caiku/9/0/4/400x266_903ef38ea956d6e2b9f04b9ae18a0c24.jpg,川菜,16
红糖糍粑,https://www.douguo.com/cookbook/1714375.html,"糯米粉,温水,红糖,开水,食用油",4.7,茹絮,https://cp1.douguo.com/upload/caiku/5/5/7/400x266_55251b307c5c1ccb0aef0273c9fd0c47.jpeg,川菜,5
自制川味酸辣粉,https://www.douguo.com/cookbook/191798.html,红薯粉,4.7,绿野仙踪olivia,https://cp1.douguo.com/upload/caiku/3/8/f/400x266_3850f1a576ca2e25dcd51883ead3869f.jpg,川菜,1
红烧冬瓜,https://www.douguo.com/cookbook/2355291.html,"冬瓜,姜,大蒜,红椒,香葱,蚝油,生抽,老抽,白糖,淀粉",4.6,西蘭,https://cp1.douguo.com/upload/caiku/b/7/0/400x266_b7d66faf2018a7da45a54e43ff77d420.jpg,川菜,10
年夜菜—川香水煮鱼,https://www.douguo.com/cookbook/2018899.html,"草鱼,豆芽,郫县豆瓣酱,蒜末,蒜片,生姜,干辣椒,青花椒,辣椒面,料酒",5.0,小米周周_,https://cp1.douguo.com/upload/caiku/3/4/d/400x266_34e95a1f94bb4a88d862a3b1eb22821d.jpeg,川菜,10
【香辣红烧带鱼】不放一滴水的醇香,https://www.douguo.com/cookbook/216943.html,带鱼,4.7,糖小饼,https://cp1.douguo.com/upload/caiku/2/b/6/400x266_2b5d93a6d1c058155ee5b58bdbf69fe6.jpg,川菜,1
蒜蓉龙虾尾,https://www.douguo.com/cookbook/2340129.html,"龙虾尾,蒜,葱,姜,盐,糖,啤酒,大料,干辣椒,花生油",4.8,食说鑫语,https://cp1.douguo.com/upload/caiku/3/5/9/400x266_35ed7db57d0963529b6b08ca93f85229.jpg,川菜,10
酸汤肥牛,https://www.douguo.com/cookbook/2060796.html,"肥牛,西红柿,金针菇",4.8,meggy跳舞的苹果,https://cp1.douguo.com/upload/caiku/9/6/0/400x266_96ad68a3d253d0879c8e550f8f807f10.jpg,川菜,3
凉面也能吃出冰火两重天——酸辣鸡丝凉面,https://www.douguo.com/cookbook/227807.html,"鸡胸肉,面条,黄瓜",4.7,哈尼22,https://cp1.douguo.com/upload/caiku/9/7/f/400x266_97ba787f7978c1d69433fc84b93be2ff.jpg,川菜,3
家常秘制黄焖鸡，超极下饭,https://www.douguo.com/cookbook/1718628.html,"鸡肉,干香菇,红椒、青椒,姜,老抽,生抽,白胡椒粉,盐,料酒,蚝油,糖",4.9,小厨娘卷卷,https://cp1.douguo.com/upload/caiku/0/2/0/400x266_02e5b801122beff32d29c3c2845db5f0.jpeg,川菜,11
#爽口凉菜，开胃一夏！#凉拌毛豆,https://www.douguo.com/cookbook/2301445.html,"毛豆,蒜头,生抽,盐,白糖,香油,鸡精,醋,干辣椒",4.9,恋上酒杯的猫,https://cp1.douguo.com/upload/caiku/b/f/d/400x266_bf73ed3551e493c3813e748cf04536cd.jpeg,川菜,9
酸汤肥牛卷,https://www.douguo.com/cookbook/213094.html,"肥牛卷,黄灯笼剁椒酱,泡小米椒,美人椒,粉丝,西红柿,小青菜或生菜,金针菇,味精,鸡精,胡椒粉,白糖,葱姜,白醋",4.7,郭彦学,https://cp1.douguo.com/upload/caiku/5/e/8/400x266_5e1f5f3521bd53ab7db26129f5a85c38.jpg,川菜,14
水煮鱼,https://www.douguo.com/cookbook/1545454.html,"龙利鱼,豆芽,郫县豆瓣酱,葱丝,姜丝,蒜沫,料酒,姜粉,白胡椒粉,淀粉,干辣椒,麻椒,油",4.8,独行侠zz,https://cp1.douguo.com/upload/caiku/a/2/2/400x266_a2d7d23100219e4556e52cd4f0963cf2.jpg,川菜,13
#好吃不上火#家常豆腐,https://www.douguo.com/cookbook/2381093.html,"豆腐,蚝油,生抽,白醋,淀粉,细砂糖,纯净水,植物油,小葱,蒜,胡萝卜",4.9,水怜忧,https://cp1.douguo.com/upload/caiku/0/5/4/400x266_05d45ab6bdeac786ccfdb20b04c07b74.jpg,川菜,11
川派鱼香茄子,https://www.douguo.com/cookbook/228244.html,长茄子,4.5,吃货在人间,https://cp1.douguo.com/upload/caiku/a/0/4/400x266_a00cce504aab28d6e28393e604602044.jpg,川菜,1
红糖糯米饭,https://www.douguo.com/cookbook/1498026.html,"糯米,红糖",4.8,Amy是大姐姐,https://cp1.douguo.com/upload/caiku/d/9/b/400x266_d947ee6d042db77047d55ba14ceebfdb.jpeg,川菜,2
#今天吃什么#茄汁豆腐,https://www.douguo.com/cookbook/2384814.html,"老豆腐,食用油,生抽,耗油,番茄酱,糖,盐,清水,水淀粉",4.9,imCc_v5,https://cp1.douguo.com/upload/caiku/3/d/d/400x266_3d1f7ac1fe4f18a18211a0e673e2a61d.jpg,川菜,9
水煮牛肉 (正宗川味家常),https://www.douguo.com/cookbook/179600.html,"瘦牛肉,黄豆芽,莴笋尖",4.8,葉子的爱与厨房,https://cp1.douguo.com/upload/caiku/7/e/c/400x266_7e794887c73f7ad6ab79b255ad0318ec.jpg,川菜,3
凉拌茄子,https://www.douguo.com/cookbook/2296146.html,"茄子,大蒜,生抽,陈醋,盐,葱花,玉米油,红油辣椒",5.0,墨韵芊华的小厨房,https://cp1.douguo.com/upload/caiku/7/6/5/400x266_76bd5c41d631d459c5b60e6eb9f672e5.jpg,川菜,8
